,Time,Temperature,TargetPWM,TempSmoothed,TimeShifted,EndValue,63pctEndValue,TempAllSmoothed,TempMean4,TempMean8
4094,326.257,54.06,17.0,54.073419695690454,1842.42,103.5,65.205,54.07341951317397,54.0225,54.0475
4095,326.706,54.11,17.0,54.08100677033946,1842.8690000000001,103.5,65.205,54.081006582318764,54.0475,54.05375
4096,327.156,54.11,17.0,54.08907629158095,1843.319,103.5,65.205,54.089076102464205,54.072500000000005,54.06
4097,327.605,54.16,17.0,54.09765744441371,1843.768,103.5,65.205,54.0976572582057,54.11,54.06625
4098,328.054,54.11,17.0,54.10675024096317,1844.217,103.5,65.205,54.1067500611933,54.1225,54.0725
4099,328.503,54.06,17.0,54.11632591188638,1844.666,103.5,65.205,54.11632574158503,54.11,54.07875
4100,328.953,54.11,17.0,54.126329642656316,1845.116,103.5,65.205,54.12632948437303,54.11,54.09125
4101,329.402,54.06,17.0,54.136685356867936,1845.565,103.5,65.205,54.13668521272127,54.085,54.0975
4102,329.852,54.16,17.0,54.14730205465976,1846.0149999999999,103.5,65.205,54.14730192640367,54.097500000000004,54.11
4103,330.308,54.2,17.0,54.15808107469307,1846.471,103.5,65.205,54.158080963781444,54.13249999999999,54.12125
4104,330.757,54.2,17.0,54.16892357714959,1846.92,103.5,65.205,54.1689234847804,54.155,54.1325
4105,331.206,54.25,17.0,54.179737549295666,1847.3690000000001,103.5,65.205,54.17973747641945,54.2025,54.14375
4106,331.656,54.2,17.0,54.190443712209195,1847.819,103.5,65.205,54.190443659492836,54.212500000000006,54.155
4107,332.105,54.2,17.0,54.20097984703805,1848.268,103.5,65.205,54.2009798147847,54.212500000000006,54.1725
4108,332.554,54.2,17.0,54.211303244612274,1848.717,103.5,65.205,54.21130323264901,54.212500000000006,54.18375
4109,333.003,54.16,17.0,54.22139119160978,1849.166,103.5,65.205,54.22139119916251,54.190000000000005,54.19625
4110,333.452,54.2,17.0,54.23123961589434,1849.615,103.5,65.205,54.23123964147496,54.19,54.20125
4111,333.902,54.2,17.0,54.24086019988835,1850.065,103.5,65.205,54.240860241221704,54.19,54.20125
4112,334.358,54.25,17.0,54.250276413984714,1850.521,103.5,65.205,54.25027646800239,54.2025,54.2075
4113,334.807,54.35,17.0,54.25951900757579,1850.97,103.5,65.205,54.25951907049816,54.25,54.22
4114,335.257,54.3,17.0,54.268621515769816,1851.42,103.5,65.205,54.26862158328502,54.275000000000006,54.2325
4115,335.705,54.3,17.0,54.277616295363686,1851.868,103.5,65.205,54.27761636289577,54.3,54.245
4116,336.155,54.25,17.0,54.286531501622434,1852.318,103.5,65.205,54.2865315646644,54.3,54.25125
4117,336.604,54.25,17.0,54.29538927170481,1852.767,103.5,65.205,54.29538932618127,54.275,54.2625
